日期,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,中国国债收益率10年-2年,中国GDP年增率,美国国债收益率2年,美国国债收益率5年,美国国债收益率10年,美国国债收益率30年,美国国债收益率10年-2年,美国GDP年增率
1990-12-19,,,,,,,7.21,7.64,8.0,8.19,0.79,
1990-12-20,,,,,,,7.25,7.67,8.05,8.22,0.8,
1990-12-21,,,,,,,7.3,7.75,8.11,8.28,0.81,
1990-12-24,,,,,,,7.35,7.84,8.2,8.36,0.85,
1990-12-26,,,,,,,7.27,7.78,8.15,8.3,0.88,
1990-12-27,,,,,,,7.25,7.75,8.11,8.25,0.86,
1990-12-28,,,,,,,7.25,7.78,8.14,8.31,0.89,
1990-12-31,,,,,,3.9,7.15,7.68,8.08,8.26,0.93,1.9
1991-01-02,,,,,,,7.08,7.59,7.97,8.14,0.89,
1991-01-03,,,,,,,7.08,7.56,7.93,8.11,0.85,
