date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
2025-01-02,000001,1781.23,1743.73,1786.23,1738.72,1819597,2102923078.11,2.67,-1.9,-33.75,0.94,1
2025-01-03,000001,1744.98,1737.47,1757.48,1734.97,1154680,1320520977.59,1.29,-0.36,-6.26,0.6,1
2025-01-06,000001,1737.47,1744.98,1749.98,1717.47,1085536,1234305778.04,1.87,0.43,7.51,0.56,1
2025-01-07,000001,1742.48,1753.73,1756.23,1736.22,747863,858329048.54,1.15,0.5,8.75,0.39,1
2025-01-08,000001,1752.48,1752.48,1768.73,1739.97,1062386,1223598996.56,1.64,-0.07,-1.25,0.55,1
2025-01-09,000001,1752.48,1739.97,1752.48,1733.72,751483,857836086.08,1.07,-0.71,-12.51,0.39,1
2025-01-10,000001,1739.97,1727.47,1747.48,1724.97,798134,905005040.97,1.29,-0.72,-12.5,0.41,1
2025-01-13,000001,1721.22,1714.97,1722.47,1699.97,934966,1044904415.84,1.3,-0.72,-12.5,0.48,1
2025-01-14,000001,1714.97,1737.47,1739.97,1713.72,824629,934467766.39,1.53,1.31,22.5,0.42,1
2025-01-15,000001,1737.47,1749.98,1762.48,1734.97,1031631,1185403653.43,1.58,0.72,12.51,0.53,1
2025-01-16,000001,1758.73,1761.23,1763.73,1748.73,872964,1007689273.66,0.86,0.64,11.25,0.45,1
2025-01-17,000001,1756.23,1746.23,1758.73,1742.48,689765,791230418.64,0.92,-0.85,-15.0,0.36,1
2025-01-20,000001,1752.48,1742.48,1754.98,1739.97,832029,953092179.17,0.86,-0.21,-3.75,0.43,1
2025-01-21,000001,1746.23,1731.22,1746.23,1729.97,902069,1024879174.22,0.93,-0.65,-11.26,0.46,1
2025-01-22,000001,1729.97,1701.22,1731.22,1699.97,1347129,1504818607.18,1.81,-1.73,-30.0,0.69,1
2025-01-23,000001,1711.22,1729.97,1739.97,1711.22,1514920,1715172472.47,1.69,1.69,28.75,0.78,1
2025-01-24,000001,1729.97,1732.47,1738.72,1717.47,944944,1069899088.28,1.23,0.14,2.5,0.49,1
2025-01-27,000001,1737.47,1748.73,1758.73,1737.47,1151935,1324270606.55,1.23,0.94,16.26,0.59,1
