股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601009,53.34,53.46,53.62,52.93,267219,279122725.0,1.3,0.45,0.24,0.3,1
601009,53.42,54.57,54.77,53.34,357940,382919695.0,2.67,2.08,1.11,0.41,1
601009,54.77,54.57,55.06,54.2,218595,234975706.0,1.58,0.0,0.0,0.25,1
601009,54.61,54.61,54.98,54.24,244733,262830352.0,1.36,0.07,0.04,0.28,1
601009,54.98,54.69,55.34,54.48,312495,337820994.0,1.57,0.15,0.08,0.35,1
601009,54.48,53.83,54.77,53.54,229017,243246856.0,2.25,-1.57,-0.86,0.26,1
601009,53.87,53.99,54.2,53.54,139835,148344607.0,1.23,0.3,0.16,0.16,1
601009,53.95,54.53,54.69,53.58,185562,198005207.0,2.06,1.0,0.54,0.21,1
601009,54.44,54.73,54.89,54.2,157137,169097389.0,1.27,0.37,0.2,0.18,1
601009,54.73,53.95,54.94,53.87,300758,321294459.0,1.96,-1.43,-0.78,0.34,1
601009,54.08,54.53,54.73,54.03,195085,209177784.0,1.3,1.08,0.58,0.22,1
601009,54.57,54.28,54.69,54.16,128767,137600765.0,0.97,-0.46,-0.25,0.15,1
601009,54.12,54.12,54.44,53.95,137189,145969416.0,0.9,-0.29,-0.16,0.16,1
601009,54.16,54.2,54.28,53.95,114690,122009755.0,0.61,0.15,0.08,0.13,1
601009,54.53,53.58,54.57,53.42,214774,227399437.0,2.12,-1.14,-0.62,0.24,1
601009,53.58,53.09,53.87,53.09,190491,199009311.0,1.46,-0.91,-0.49,0.22,1
